n,c1,c2
1,0.0,0.0
2,1.976050904676605,9.744449476259067
3,75.28641917534902,74.58675838531103
4,140.6534947640108,243.2249612046802
5,310.4107058986966,309.88866398739805
6,375.0194290194513,479.7788469800604
7,544.8622068636323,548.0428006584914
8,610.5323517759396,719.8889030174632
9,778.285282814829,782.0530924469283
10,841.8041958864903,947.3248087979556
11,1008.8680413881299,1011.9500757432676
12,1075.9238694090257,1181.2220788294221
13,1245.5229064435568,1244.5930743221606
14,1311.2042515067897,1412.0396921243878
15,1479.0585263816924,1474.3803582036567
16,1546.5090492858212,1641.7176137757715
17,1718.5230159727225,1709.1429051755592
18,1785.5970918629148,1880.958398504
19,1956.1986026820784,1946.2485054256251
20,2019.0717045076908,2114.0299475563966
21,2186.8710980376595,2181.4005330449627
22,2247.9218800859144,2350.052077504206
23,2413.955754666531,2417.333260645094
24,2481.2028265100844,2589.1066170937056
25,2653.4951668386952,2657.458605101259
26,2721.1494683394303,2830.3905641189453
27,2891.672744015097,2894.5319891563895
28,2958.9811182398225,3063.4811997030392
29,3130.36660588514,3129.9076830285894
30,3196.363188885667,3300.2889871976686
31,3364.9052099654054,3363.421418409308
32,3431.1787794637407,3530.9351257764956
33,3601.3382392485632,3596.7629114091833
34,3667.0563628801483,3766.466890674911
35,3837.4668224648894,3833.8085479658694
36,3904.788389924016,4005.6732696916206
37,4077.724765070101,4075.1972282184215
38,4145.864529970862,4249.410141834333
39,4316.828985477587,4313.5838419424545
40,4382.938461140007,4481.97858181154
41,4552.0779798542135,4546.081118730122
42,4620.440644766304,4715.502211766976
43,4790.935152266805,4778.4102189064915
44,4855.548191224948,4944.906599642147
45,5023.058478144487,5008.43759567092
46,5087.7297920784995,5175.53526719851
47,5256.579774406758,5241.644489901121
48,5322.48819939965,5411.696878215127
49,5492.253371849825,5477.392319415743
50,5559.106455433426,5647.541240035864
51,5730.082950184631,5713.962486211922
52,5795.875625081566,5884.2366061535
53,5966.639942806831,5952.160937822151
54,6032.68933139058,6123.901644536865
55,6205.324270488139,6195.214169693481
56,6272.719576538508,6370.603500634868
57,6443.536138757941,6435.75773281493
58,6507.3005102700545,6603.872301578834
59,6676.326254709411,6672.066583063137
60,6743.468711362295,6844.6005640640515
61,6915.930531661936,6913.487573636443
62,6978.982635239034,7084.510489073322
63,7147.105328530926,7152.207202826757
64,7209.595409471055,7321.904550963685
65,7376.702371219891,7388.577494074196
66,7442.69302652491,7559.176414732481
67,7614.303920731477,7628.467779828612
68,7680.917297460675,7801.698457526957
69,7851.837951602702,7868.437261071849
70,7913.940006596186,8037.0965942641815
71,8079.607137405632,8101.5394047507525
72,8144.722575833267,8269.689567308846
73,8313.801197285788,8335.444245342622
74,8379.577935499161,8505.111702795422
75,8549.595372396416,8571.550836774524
76,8615.983783464439,8742.13987251758
77,8786.451228601512,8808.376338708797
78,8853.840636451268,8979.280480511925
79,9023.550508649132,9042.30380551483
80,9088.041468011346,9208.846370420792
81,9257.871845774254,9277.310876534732
82,9323.951792589633,9449.543183870908
83,9494.809319418231,9517.12545986262
84,9558.585971050892,9687.396450644563
85,9727.26939467085,9754.853835639748
86,9791.541890760975,9925.272109077847
87,9959.588487219153,9990.491555918707
88,10023.778232927489,10158.879981509652
89,10191.07467919228,10222.745230759978
90,10256.4953823881,10390.51877471014
91,10426.904532400753,10458.411317605507
92,10492.561108968977,10629.923553817742
93,10663.866489469234,10699.217217008083
94,10731.928764463515,10873.188043217428
95,10904.685425973794,10941.006227891823
96,10974.583445099,11114.574879089714
97,11147.652761635254,11179.858814076635
98,11213.024342672617,11348.899093709411
99,11383.558457793213,11417.140604535572
100,11450.14924340752,11589.436902436211
101,11623.393010912238,11660.977919197032
102,11688.99340056677,11835.622826714174
103,11858.370154148644,11901.096355040025
104,11923.1534898584,12070.012429048387
105,12094.183938638547,12140.42285142836
106,12156.530686966722,12312.366734105726
107,12323.32591879722,12378.669475940244
108,12386.038520277518,12547.264836103981
109,12552.562159766116,12612.302373030932
110,12617.624423467008,12780.965415838436
111,12789.033096032064,12851.625396987973
112,12854.40114729408,13025.394543956361
113,13023.386950085769,13090.505600213153
114,13089.764927875125,13259.888911591748
115,13260.121401578588,13325.922658344203
116,13324.293136070464,13495.0300684867
117,13491.74614556351,13559.240593588915
118,13557.618091773636,13727.552481392933
119,13728.352543672065,13795.26868971266
120,13794.095130928723,13966.669180222038
121,13963.154225214439,14031.257749492703
122,14026.70624656619,14198.75663700284
123,14195.220370266668,14266.29608083258
124,14263.537558804957,14438.834050283012
125,14435.996523496371,14505.613502713484
126,14502.751242808466,14676.691162338346
127,14673.39032102811,14742.616501568686
128,14739.048774866544,14912.378343824326
129,14909.017345807537,14978.934760132222
130,14977.5517674912,15150.692640996767
131,15150.007765812283,15217.08992918486
132,15213.063983044052,15385.946638217985
133,15381.34868829502,15453.975433718002
134,15443.827275985315,15623.954333310176
135,15611.679398595059,15692.218172271203
136,15674.816611328624,15862.748063774117
137,15842.306233235033,15928.962734328563
138,15908.943237224543,16099.473905702647
139,16078.839180006195,16164.140350552942
140,16141.583875285443,16331.299215739586
141,16307.723892479991,16395.493695594472
142,16374.663777935795,16564.313018631008
143,16545.547315224183,16630.39543919368
144,16612.647246556873,16801.017011651675
145,16784.671943614907,16869.095961091727
146,16851.1933622757,17041.213344637174
147,17020.41800705641,17104.769983559436
148,17087.09619953464,17272.87300960674
149,17257.37311852237,17338.216829713965
150,17322.75230104815,17507.314989065133
151,17492.51027274748,17573.957939316486
152,17558.081667289243,17744.318605795717
153,17726.726798749973,17808.39257890087
154,17791.968579079876,17976.26897566813
155,17960.95824814097,18041.61548201067
156,18033.71358920593,18214.274655233497
157,18208.708245953585,18278.61310764911
158,18275.81801173284,18447.647671812614
159,18447.58904468276,18515.197976941454
