n,c1,c2
1,0.0,0.0
2,6.913154550040895,21.54610579034982
3,110.1102590538825,113.72863652192767
4,190.38310102676124,313.07789897692356
5,381.28925364389073,395.94054665943594
6,469.0413463780898,591.4606478583052
7,670.7080419401652,683.2629579021235
8,761.7476932118732,887.9341057195006
9,969.864607682644,987.3440362093519
10,1051.4338954232878,1192.9611061745718
11,1243.882055282605,1276.69308116616
12,1325.134510752384,1469.7293301881375
13,1520.0284664213843,1559.1124151986332
14,1601.2491459392795,1756.752856955377
15,1798.2213757878353,1850.672297092555
16,1884.6147733168089,2054.667355815126
17,2083.1465795964946,2142.421191976867
18,2178.0221765732094,2345.56955735479
19,2384.5508821982507,2435.356955309785
20,2469.6047186021106,2635.3304926315413
21,2664.2377444843305,2717.556882260171
22,2745.522727949393,2909.3461365034345
23,2944.9317345379886,3008.550607447674
24,3037.72260102393,3220.0838120214403
25,3243.876162363661,3312.4581567368605
26,3336.719166331859,3518.503088992575
27,3543.7087668892996,3612.4672171022253
28,3634.490792646818,3818.7722138230693
29,3839.551889449352,3912.3000278029995
