emp_worst,emp_averg,emp_averg_std,emp_averg_magn,emp_averg_corr,emp_averg_magn_std,emp_averg_corr_std,bnd_worst,bnd_averg,bnd_averg_magn,bnd_averg_corr,n
5.296313990643256e-06,1.962077624367729e-06,6.795622212004068e-08,2.3739541287606802e-07,2.403128203969443e-07,3.3243616452264355e-08,6.348150276760269e-08,3.1409262951448e-05,1.3378219114670826e-05,(1.5109864622456047e-05-2.4704483466139694e-26j),(1.286175993259078e-05-2.1028853900379888e-26j),4
1.5041483592897237e-05,6.210490973830231e-06,1.278303123463901e-07,3.731360945520567e-07,4.4537096705120355e-07,4.9283474818711095e-08,5.6883451115807213e-08,9.93265166115774e-05,4.27736588242796e-05,(4.1943073386925587e-05-2.859552024359539e-25j),(3.714898129578379e-05-2.532705309581983e-25j),5
4.747617005409015e-05,1.5109736297323124e-05,3.503220314046836e-07,5.210166622692663e-07,6.89059733983352e-07,8.710275179402878e-08,8.293563669762856e-08,0.0002618784563026454,0.00010556660068095498,(9.261544628103244e-05+6.4229825032047895e-25j),(8.401250895094216e-05+5.826359389392146e-25j),6
9.832140262657295e-05,3.1561653319167e-05,3.340284237148448e-07,6.067036745346921e-07,8.90676788948483e-07,1.582128547599088e-07,1.6555892158285815e-07,0.0005891199632053597,0.00022247467248069451,(0.00017851779131726781+4.5269197879646475e-25j),(0.00016454564901329617+4.172609066274753e-25j),7
0.00018462968439376126,5.912471393951871e-05,6.549747739699636e-07,7.369263406203918e-07,1.0380063894670917e-06,1.1562454802656508e-07,1.1572358111481623e-07,0.0012557762195217776,0.00042043649928908143,(0.0003132569350317323-5.882113864439454e-24j),(0.0002920689824967906-5.484261700840136e-24j),8
0.00031322654831292436,0.00010166910259789851,6.454860447783569e-07,7.564008415111844e-07,1.1433343695462992e-06,7.623106639182199e-08,2.619892490073506e-07,0.002274086969348597,0.0007331421459412078,(0.0005124838807538293-1.0108225296215388e-23j),(0.00048196194398169564-9.50621101838922e-24j),9
0.0005710480615468004,0.0001649392731167387,9.55995917977504e-07,7.73522729125564e-07,1.183690146194759e-06,6.508295676694158e-08,1.2928630025144373e-07,0.003956893466412924,0.0012015209907888667,(0.0007940245199494238+1.1692973242589448e-24j),(0.000751778732591088+1.1070852830962098e-24j),10
0.0009488305988961086,0.00025567094719635374,7.725163476198291e-07,7.53467857539103e-07,1.0985046407093605e-06,1.0840205993227252e-07,1.8389796333529838e-07,0.0064402196985600384,0.0018741978777221423,(0.0011778783647639819-2.2400956932607913e-23j),(0.0011212471646544642-2.1323941586503478e-23j),11
