n,c1,c2
1,0.0,0.0
2,0.9699196080712699,6.451394267778741
3,64.40845328019773,62.18827451831063
4,124.29706331899052,219.6086807106867
5,284.76200117099575,277.71678223174183
6,344.4608212193818,437.3206246720032
7,503.7888187653236,493.5597650218269
8,562.1824420571536,650.7459760900111
9,721.2238370885642,708.7719509871943
10,778.9999931401275,867.34477046213
11,938.2329644584129,926.9281268103796
12,996.6036405666755,1087.246111616984
13,1156.0872199443604,1146.2005381501756
14,1215.6972188278164,1306.5563211581198
15,1375.1465060722933,1363.1843744990285
16,1432.4957420879546,1520.2283007032543
17,1591.9428987766241,1581.094167716165
18,1649.019739616761,1741.9144731400477
19,1807.481798176219,1801.2818867954284
20,1864.8903182392755,1960.9111500707295
21,2023.6144824647818,2020.1680427375663
22,2081.5047716568106,2179.941264626559
23,2240.4131781192177,2238.6463271059856
24,2300.4479033302223,2398.9781643065126
25,2461.102522157028,2457.1955642463204
26,2520.298217114854,2616.6546745397095
27,2679.612517182464,2673.7560255554604
28,2737.666651698696,2831.5973213268926
29,2896.8371354622614,2890.5201462335153
30,2953.403805932229,3049.3094383856705
31,3110.6399811019837,3107.165973332825
32,3169.6098348946866,3266.1734532748865
33,3329.8493715488703,3325.520559784436
34,3388.219563536524,3485.6203163703944
35,3547.615306343166,3544.3989573693716
36,3607.046548956468,3704.5015358890373
37,3767.150028433724,3762.72572101017
38,3824.5586316177296,3921.2984444898284
39,3983.276354360709,3980.542009324638
40,4039.2523092938536,4139.319063924454
41,4196.274470252875,4197.895741946581
42,4254.674539398688,4357.295454202336
43,4413.692665027729,4415.263151797386
44,4471.659439041479,4573.876892521838
45,4630.384053717013,4632.067442007998
46,4688.680495915414,4791.054578731575
47,4848.299921274263,4850.424197489318
48,4906.305005896928,5010.35965743991
49,5065.099336684754,5068.617965672935
50,5123.2169179519,5227.57901945524
51,5281.413953367911,5284.441232809495
52,5339.317503924651,5441.981464549831
53,5497.5671753520055,5499.342052432392
54,5554.546840384866,5656.892211283416
55,5713.372531616782,5717.203925682339
56,5771.712914145156,5878.174767731738
57,5931.407122321747,5937.612094015309
58,5989.014898423319,6097.407433639473
59,6147.690176092242,6156.180208548379
60,6206.947849111008,6316.191084156584
61,6367.541281635254,6375.709768005805
62,6426.400538088754,6536.215007414659
63,6585.971809862186,6594.433274888681
