n,c1,c2
1,0.0,0.0
2,0.6967267517753842,5.488634526302261
3,63.8996672644441,64.31340483314057
4,120.93046183095349,223.25040606244949
5,278.99151586709496,281.886846316625
6,339.020138057568,442.1511126868665
7,499.7381296630559,500.5036782501561
8,557.0654396692704,659.1546317472508
9,714.8218568844057,716.6085840064547
10,774.9954917771574,875.8222877787973
11,936.4041017229893,935.2742618375793
12,996.8213799960669,1096.495151629866
13,1157.5052454902852,1154.0902480643467
14,1218.0743627985353,1313.6301478454732
15,1378.6124763233524,1370.679211197044
16,1436.6175943284481,1528.4467570820975
17,1595.5332514668664,1586.948735671322
18,1653.2414904050775,1745.9310102586567
19,1812.4642168495395,1805.6252211347787
20,1871.645537022831,1966.4549394840435
21,2031.562229974466,2024.7662308463543
22,2087.2679637840774,2182.550257988148
23,2244.5500551743253,2242.2121380679155
24,2303.4512672429987,2402.8708862400576
25,2463.620664614883,2462.20588157648
26,2522.934168602892,2622.7688174603586
27,2682.490694950927,2680.1319264728554
28,2739.8894286565937,2837.894425717614
29,2898.9500885433263,2897.86115527323
30,2957.8536725142662,3058.8021959697735
31,3117.262624546138,3116.617775860297
32,3175.760845059398,3275.3533237782985
33,3335.9909699145223,3335.577722570967
34,3393.7248363279023,3496.1576997362754
35,3552.310566501462,3554.5090192207863
36,3612.914511356952,3714.78567470703
37,3774.5583856528583,3773.92181407061
38,3833.961717255389,3934.3444920305446
39,3994.2521817285706,3992.989357375003
40,4053.94145035978,4153.094241424831
41,4214.056643635423,4210.87546947033
42,4273.524079748444,4370.0564634777165
43,4434.14053433042,4429.231333012771
44,4492.799632113564,4589.317365973742
45,4652.544695040024,4648.2545665030875
46,4709.844075477935,4807.43227188058
47,4868.065045655587,4865.875556539631
48,4926.484622764335,5025.160548812477
49,5085.935870216515,5083.9577654547575
