worst,singl,multi,n
11,10,11,4
12,12,12,5
14,14,14,6
16,15,15,7
17,16,16,8
18,17,17,9
19,18,19,10
21,20,21,12
23,21,22,14
26,23,24,17
28,25,27,20
33,29,30,26
37,32,34,33
42,35,38,42
47,38,42,54
54,41,47,69
61,42,51,88
68,42,56,112
77,42,60,142
87,42,64,181
98,42,68,231
111,42,71,295
