n,c1,c2
1,0.0,0.0
2,0.3580212975922975,3.766331793512795
3,58.90487215115102,58.96295462835524
4,113.00889646297291,213.02540131511364
5,265.90112371260284,266.8685026040898
6,321.2197715045232,420.24144938330954
7,476.39867870447637,476.3423305304638
8,531.0780954652771,631.5482416007846
9,684.5978515165681,685.5482504299944
10,739.0392177021199,838.6394964540239
11,892.6404852409551,893.2546220721649
12,947.6217158525476,1047.204665861022
13,1101.7774176680532,1101.8982881822683
14,1156.6342593699374,1255.8614424156776
15,1310.8951132953098,1311.002534690362
16,1365.5552889994492,1465.2933134856999
17,1519.4593263879424,1520.0957499370993
18,1573.708192474141,1673.8578581110644
19,1726.9995927522036,1728.2214929594086
20,1781.634278217379,1881.7580559802218
21,1934.960015168419,1935.4581671115195
22,1990.0741731805012,2088.5921140055143
23,2144.0266986147763,2142.6330532335687
24,2199.7629946249153,2296.4024017771444
25,2354.998610725625,2351.820058088959
26,2411.1227983435947,2507.1051118610485
27,2566.0547971395154,2561.2059285274563
28,2620.9721059833473,2714.6302460189872
29,2775.4932465151164,2770.178612160602
