n,c1,c2
1,0.0,0.0
2,1.4087175099943094,7.992560959030268
3,70.76896930589831,70.44877686977028
4,138.1530469729134,237.86327258604396
5,310.57265483801945,306.22329753645613
6,383.8748797113511,481.9318369664724
7,562.0369879680742,551.3781982783627
8,627.7411393276775,724.2750771554091
9,798.2856808518848,791.9155383459457
10,863.2018556264743,962.8262900824853
11,1031.4779250642234,1027.3349171297373
12,1100.8733882199226,1197.627275974461
13,1275.3398982868719,1266.4943901996114
14,1347.6050320777454,1442.1649171349973
15,1524.4436777326403,1510.774242117184
16,1588.3285541259904,1681.996242440933
17,1758.5653025305928,1752.5100368589963
18,1822.8627268906941,1925.5881044349107
19,1991.9990444282687,1992.9853765018127
20,2059.6504376938474,2165.0646102135743
21,2233.593849166641,2236.041528032899
22,2299.583230533247,2410.408947508099
23,2467.486223509891,2472.320772069318
24,2535.22779581653,2639.390249095931
25,2705.3275938058023,2702.572083697227
26,2770.385271423386,2869.53908390456
27,2940.238876696991,2936.97418660126
28,3004.5149039686894,3107.3747037414346
29,3175.9407596163555,3179.6479775167327
