n,c1,c2
1,0.0,0.0
2,2.0,10.0
3,76.0,76.0
4,142.0,246.0
5,312.0,312.0
6,378.0,482.0
7,548.0,548.0
8,614.0,718.0
9,784.0,784.0
10,850.0,954.0
11,1020.0,1020.0
12,1086.0,1190.0
13,1256.0,1256.0
14,1322.0,1426.0
15,1492.0,1492.0
16,1558.0,1662.0
17,1728.0,1728.0
18,1794.0,1898.0
19,1964.0,1964.0
20,2030.0,2134.0
21,2200.0,2200.0
22,2266.0,2370.0
23,2436.0,2436.0
24,2502.0,2606.0
25,2672.0,2672.0
26,2738.0,2842.0
27,2908.0,2908.0
28,2974.0,3078.0
29,3144.0,3144.0
30,3210.0,3314.0
31,3380.0,3380.0
32,3446.0,3550.0
33,3616.0,3616.0
34,3682.0,3786.0
35,3852.0,3852.0
36,3918.0,4022.0
37,4088.0,4088.0
38,4154.0,4258.0
39,4324.0,4324.0
40,4390.0,4494.0
41,4560.0,4560.0
42,4626.0,4730.0
43,4796.0,4796.0
44,4862.0,4966.0
45,5032.0,5032.0
46,5098.0,5202.0
47,5268.0,5268.0
48,5334.0,5438.0
49,5504.0,5504.0
50,5570.0,5674.0
51,5740.0,5740.0
52,5806.0,5910.0
53,5976.0,5976.0
54,6042.0,6146.0
55,6212.0,6212.0
56,6278.0,6382.0
57,6448.0,6448.0
58,6514.0,6618.0
59,6684.0,6684.0
60,6750.0,6854.0
61,6920.0,6920.0
62,6986.0,7090.0
63,7156.0,7156.0
64,7222.0,7326.0
65,7392.0,7392.0
66,7458.0,7562.0
67,7628.0,7628.0
68,7694.0,7798.0
69,7864.0,7864.0
70,7930.0,8034.0
71,8100.0,8100.0
72,8166.0,8270.0
73,8336.0,8336.0
74,8402.0,8506.0
75,8572.0,8572.0
76,8638.0,8742.0
77,8808.0,8808.0
78,8874.0,8978.0
79,9044.0,9044.0
80,9110.0,9214.0
81,9280.0,9280.0
82,9346.0,9450.0
83,9516.0,9516.0
84,9582.0,9686.0
85,9752.0,9752.0
86,9818.0,9922.0
87,9988.0,9988.0
88,10054.0,10158.0
89,10224.0,10224.0
90,10290.0,10394.0
91,10460.0,10460.0
92,10526.0,10630.0
93,10696.0,10696.0
94,10762.0,10866.0
95,10932.0,10932.0
96,10998.0,11102.0
97,11168.0,11168.0
98,11234.0,11338.0
99,11404.0,11404.0
100,11470.0,11574.0
101,11640.0,11640.0
102,11706.0,11810.0
103,11876.0,11876.0
104,11942.0,12046.0
105,12112.0,12112.0
106,12178.0,12282.0
107,12348.0,12348.0
108,12414.0,12518.0
109,12584.0,12584.0
110,12650.0,12754.0
111,12820.0,12820.0
112,12886.0,12990.0
113,13056.0,13056.0
114,13122.0,13226.0
115,13292.0,13292.0
116,13358.0,13462.0
117,13528.0,13528.0
