emp_worst,emp_averg,emp_averg_std,emp_averg_magn,emp_averg_corr,emp_averg_magn_std,emp_averg_corr_std,bnd_worst,bnd_averg,bnd_averg_magn,bnd_averg_corr,n
2.1495377362981297e-05,8.058425169617134e-06,4.102861568809964e-07,1.0757026756577378e-06,9.638168653021242e-07,1.708096680984265e-07,2.023595191452438e-07,0.00015821263908688006,6.662859865609693e-05,(6.244812636757515e-05+4.453796981020355e-25j),(5.315685015378305e-05+3.7911436660555705e-25j),4
6.114212690770058e-05,2.442928189149258e-05,7.156340308304316e-07,1.4082794811445806e-06,1.768322611353252e-06,3.066885794882397e-07,3.2637161366278767e-07,0.0005251331272490945,0.00020769168269410435,(0.0001732654048972456-1.9794444570565077e-24j),(0.00015346117406218963-1.7531940121049186e-24j),5
0.00018635566989238822,6.0609960255178834e-05,1.3077320685751829e-06,2.038379501717175e-06,2.435227959482686e-06,2.241160735273573e-07,5.931300322956374e-07,0.0013737790650469744,0.0005071147497975326,(0.00038263022574870447-1.9664145372885436e-24j),(0.0003470881646250564-1.7837566577601218e-24j),6
0.0003968882315947826,0.00012673076857372756,2.1951064697295758e-06,2.676853183491085e-06,3.4750681528944275e-06,2.8753924587574795e-07,3.875009401258736e-07,0.003176655174263459,0.0010623900957836808,(0.0007381417657845779-2.1379329682162305e-23j),(0.0006803692506982934-1.9706022867875036e-23j),7
0.0007456387646245365,0.0002379513829010228,2.098586018584788e-06,2.860071936176484e-06,3.8995662692550664e-06,3.6972969894575446e-07,8.1696302671655e-07,0.006482895533847525,0.0020001814206954895,(0.0012959944791126696-5.026073506435854e-23j),(0.001208336501145784-4.686121872545599e-23j),8
0.0012497214459122313,0.0004062453196091314,1.93828210625208e-06,2.5300349648613594e-06,4.511645558759733e-06,3.663633064534648e-07,7.885874188765776e-07,0.011949724542503133,0.0034787865392472035,(0.0021210373988080193+4.79647427823513e-23j),(0.0019947150464200303+4.510811274680526e-23j),9
0.002278117818002244,0.0006592774744606042,2.043260626125305e-06,2.6368628461361735e-06,4.656615646916363e-06,4.7235932212868024e-07,8.471694670038227e-07,0.020654433696639937,0.005690413555200131,(0.0032871514228232715-4.7766139899983335e-23j),(0.0031122597204460093-4.522475970523601e-23j),10
