worst,singl,multi,n
4,4,4,4
5,4,5,5
6,5,5,6
6,5,6,7
7,5,6,8
7,6,7,9
8,6,7,10
8,6,7,12
9,6,8,14
10,6,8,17
11,6,9,20
13,6,10,26
14,6,10,33
16,6,11,42
18,6,11,54
21,6,11,69
23,6,12,88
26,6,12,112
30,6,12,142
33,6,12,181
38,6,12,231
42,6,12,295
