n,c1,c2
286,40808.0,40920.0
287,41008.0,41008.0
288,41096.0,41208.0
289,41296.0,41296.0
290,41384.0,41496.0
291,41584.0,41584.0
292,41672.0,41784.0
293,41872.0,41872.0
294,41960.0,42072.0
295,42160.0,42160.0
296,42248.0,42360.0
297,42448.0,42448.0
298,42536.0,42648.0
299,42736.0,42736.0
300,42824.0,42936.0
301,43024.0,43024.0
302,43112.0,43224.0
303,43312.0,43312.0
304,43400.0,43512.0
305,43600.0,43600.0
306,43688.0,43800.0
307,43888.0,43888.0
308,43976.0,44088.0
309,44176.0,44176.0
310,44264.0,44376.0
311,44464.0,44464.0
312,44552.0,44664.0
313,44752.0,44752.0
314,44840.0,44952.0
315,45040.0,45040.0
316,45128.0,45240.0
317,45328.0,45328.0
318,45416.0,45528.0
319,45616.0,45616.0
320,45704.0,45816.0
321,45904.0,45904.0
322,45992.0,46104.0
323,46192.0,46192.0
324,46280.0,46392.0
325,46480.0,46480.0
326,46568.0,46680.0
327,46768.0,46768.0
328,46856.0,46968.0
329,47056.0,47056.0
330,47144.0,47256.0
331,47344.0,47344.0
332,47432.0,47544.0
333,47632.0,47632.0
334,47720.0,47832.0
335,47920.0,47920.0
336,48008.0,48120.0
337,48208.0,48208.0
338,48296.0,48408.0
339,48496.0,48496.0
340,48584.0,48696.0
341,48784.0,48784.0
342,48872.0,48984.0
343,49072.0,49072.0
344,49160.0,49272.0
345,49360.0,49360.0
346,49448.0,49560.0
347,49648.0,49648.0
348,49736.0,49848.0
349,49936.0,49936.0
350,50024.0,50136.0
351,50224.0,50224.0
352,50312.0,50424.0
353,50512.0,50512.0
354,50600.0,50712.0
355,50800.0,50800.0
356,50888.0,51000.0
357,51088.0,51088.0
358,51176.0,51288.0
359,51376.0,51376.0
360,51464.0,51576.0
361,51664.0,51664.0
362,51752.0,51864.0
363,51952.0,51952.0
364,52040.0,52152.0
365,52240.0,52240.0
366,52328.0,52440.0
367,52528.0,52528.0
