emp_worst,emp_averg,emp_averg_std,emp_averg_magn,emp_averg_corr,emp_averg_magn_std,emp_averg_corr_std,bnd_worst,bnd_averg,bnd_averg_magn,bnd_averg_magn_nc,bnd_averg_corr,n
5.296313990643256e-06,2.014944830540319e-06,5.26283244137671e-08,2.1273458923491693e-07,2.2840703941380548e-07,2.8682390830384412e-08,4.157431242029708e-08,6.2818525902896e-05,2.6756438229341652e-05,(1.5109864622456047e-05-2.4704483466139694e-26j),(2.3647131149847356e-05+0j),(1.286175993259078e-05-2.1028853900379888e-26j),4
1.5041483592897237e-05,6.140100314586685e-06,1.3709229252601931e-07,3.887477414390994e-07,4.467106712339673e-07,7.019741757897761e-08,7.801211570170338e-08,0.0001986530332231548,8.55473176485592e-05,(4.1943073386925587e-05-2.859552024359539e-25j),(6.709496014289968e-05+0j),(3.714898129578379e-05-2.532705309581983e-25j),5
4.747617005409015e-05,1.5192575493233373e-05,2.2845618824635348e-07,4.706079655708573e-07,7.077822985323764e-07,1.1242793391016173e-07,1.2435604629356475e-07,0.0005237569126052908,0.00021113320136190996,(9.261544628103244e-05+6.4229825032047895e-25j),(0.00014972482025159842+0j),(8.401250895094216e-05+5.826359389392146e-25j),6
9.832140262657295e-05,3.170079041275577e-05,4.2730636225924943e-07,6.849984265121233e-07,8.691463955986731e-07,9.93998572993445e-08,1.685093172670037e-07,0.0011782399264107194,0.00044494934496138903,(0.00017851779131726781+4.5269197879646475e-25j),(0.0002910930120507125+0j),(0.00016454564901329617+4.172609066274753e-25j),7
0.00018462968439376126,5.913661628330101e-05,6.842249481352142e-07,7.714367410635581e-07,9.811748765266304e-07,1.2448545150850322e-07,1.86375823572604e-07,0.002511552439043555,0.0008408729985781629,(0.0003132569350317323-5.882113864439454e-24j),(0.0005139239651125399+0j),(0.0002920689824967906-5.484261700840136e-24j),8
