worst,singl,multi,n
1,1,1,4
1,1,1,5
2,1,1,6
2,1,1,7
2,1,1,8
2,1,1,9
2,1,1,10
2,1,1,12
2,1,1,14
2,1,1,18
3,1,1,24
3,1,1,30
4,1,1,40
4,1,1,54
5,1,1,70
5,1,1,94
6,1,1,124
7,1,1,164
8,1,1,216
9,1,1,286
10,1,1,378
11,1,1,500
