emp_worst,emp_averg,emp_averg_std,emp_averg_magn,emp_averg_corr,emp_averg_magn_std,emp_averg_corr_std,bnd_worst,bnd_averg,bnd_averg_magn,bnd_averg_corr,n
5.296313990643256e-06,1.9561840406346595e-06,6.653159965677061e-08,2.4335074366568787e-07,2.382588992418111e-07,4.429198891528182e-08,4.605958722047575e-08,3.1409262951448e-05,1.3378219114670826e-05,(1.5109864622456047e-05-2.4704483466139694e-26j),(1.286175993259078e-05-2.1028853900379888e-26j),4
1.5041483592897237e-05,6.15953978569784e-06,1.1470940487131674e-07,3.904030934673286e-07,4.420348991329009e-07,7.028033811674511e-08,5.6940462241362635e-08,9.93265166115774e-05,4.27736588242796e-05,(4.1943073386925587e-05-2.859552024359539e-25j),(3.714898129578379e-05-2.532705309581983e-25j),5
4.747617005409015e-05,1.5221334463328814e-05,1.6759947831259788e-07,5.768989566403565e-07,6.976500849391593e-07,7.271528165842272e-08,1.1677140545639598e-07,0.0002618784563026454,0.00010556660068095498,(9.261544628103244e-05+6.4229825032047895e-25j),(8.401250895094216e-05+5.826359389392146e-25j),6
9.832140262657295e-05,3.180284334427157e-05,4.860615311936143e-07,6.849544153626764e-07,9.096769522168315e-07,7.277099033789081e-08,1.4442852814466718e-07,0.0005891199632053597,0.00022247467248069451,(0.00017851779131726781+4.5269197879646475e-25j),(0.00016454564901329617+4.172609066274753e-25j),7
0.00018462968439376126,5.923489690068453e-05,5.144224265014392e-07,7.472959978135907e-07,1.0121012484374386e-06,9.846113650270263e-08,1.5247584233185666e-07,0.0012557762195217776,0.00042043649928908143,(0.0003132569350317323-5.882113864439454e-24j),(0.0002920689824967906-5.484261700840136e-24j),8
0.00031322654831292436,0.00010141650644088128,6.526047495807518e-07,7.345948916115397e-07,1.114936395972127e-06,7.345121311706194e-08,1.915646578782677e-07,0.002274086969348597,0.0007331421459412078,(0.0005124838807538293-1.0108225296215388e-23j),(0.00048196194398169564-9.50621101838922e-24j),9
