worst,singl,multi,n
11,5,5,5
13,6,6,6
15,6,6,7
16,7,7,8
17,7,7,9
18,7,7,10
21,8,8,12
24,9,9,15
26,9,9,18
30,10,10,22
32,10,11,26
36,10,11,32
40,10,12,39
45,10,12,48
50,10,12,59
55,10,13,71
61,10,13,87
67,10,13,106
75,10,13,130
83,10,13,158
