n,c1,c2
1,0.0,0.0
2,8.2910421690812,24.574352750308034
3,114.1999437355062,114.4329728806217
4,202.6114086488567,316.30606896080906
5,404.15418062592056,407.2573887250768
6,500.5077676991656,614.1039556337741
7,711.7480944505273,713.1514471213483
8,803.7417366701942,922.2102451087079
9,1008.3451601573177,1014.7281616340372
10,1099.2814354207076,1218.1736148351572
11,1301.6947692086505,1307.6554174882558
12,1394.3116089586035,1509.9493441931654
13,1597.8310715985879,1600.3729097267455
14,1697.6049633095854,1808.4078437862854
15,1907.833291178961,1898.2322858839934
16,2009.0340710844935,2105.1133255535296
17,2226.197940633154,2205.2201059206936
18,2319.7263500437184,2417.4735454030906
19,2529.913063555113,2517.9499996058953
20,2621.38496664734,2729.619609592898
21,2823.8296141592245,2820.9981566869455
22,2913.5890800373054,3021.6118724311227
23,3119.9603892444698,3122.134282499312
24,3214.2207598242358,3335.450167403273
25,3424.011586804665,3433.051501198088
26,3515.2467057168788,3642.11293806325
27,3718.4916533258574,3735.370295101734
28,3807.7506775347238,3938.4480636198077
29,4010.5087006471194,4033.79494514192
30,4098.923794259038,4237.929235896833
31,4300.9144662354065,4329.114897761457
32,4399.337850893283,4536.833517200304
33,4612.886378102693,4634.6197102708475
34,4706.574640393619,4845.90462055417
35,4912.0324372724945,4937.426155506754
36,5004.1281299921575,5139.8891044661395
37,5212.921358959013,5241.864736236533
38,5315.808086508458,5459.090054041694
39,5527.58997130613,5553.081951960545
40,5619.952301953816,5756.593537035304
41,5825.196291503526,5855.303288647662
42,5916.46260991633,6063.65251549668
43,6124.333795915221,6161.430547543072
44,6220.250221653277,6372.2543250760245
45,6425.842312220366,6465.6598270294035
46,6517.121776593167,6669.663456430864
47,6723.043972127495,6768.51946555482
48,6824.238642016919,6980.986054759824
49,7035.160982942418,7073.972410675777
