worst,singl,multi,n
5,5,5,4
6,5,5,5
6,6,6,6
7,6,6,7
7,6,7,8
8,6,7,9
8,7,7,10
9,7,8,12
10,7,8,14
10,7,9,17
11,7,9,20
13,7,10,26
14,7,11,33
16,7,11,42
18,7,12,54
21,7,12,69
23,7,12,88
26,7,12,112
30,7,13,142
33,7,13,181
38,7,13,231
43,7,13,295
