worst,singl,multi,n
3,2,3,4
3,2,3,5
4,2,3,6
4,2,3,7
4,2,3,8
5,2,4,9
5,2,4,10
5,2,4,12
6,2,4,15
6,2,4,18
7,2,4,21
8,2,4,25
8,2,4,30
10,2,5,40
11,2,5,54
13,2,5,70
14,2,5,94
17,2,5,124
19,2,5,164
22,2,5,216
25,2,5,286
29,2,5,378
33,2,5,500
